iter	RMSE
0	125757.981
1	120228.6335
2	114012.5979
3	108384.0053
4	102581.6604
5	99726.21726
6	95216.98841
7	91093.3758
8	87210.86883
9	84025.19707
10	80601.87193
11	77121.75881
12	74003.488
13	71021.0087
14	69069.19608
15	66404.52471
16	63941.63893
17	61373.85322
18	60830.31197
19	60285.4321
20	58224.73635
21	56267.93367
22	54679.78858
23	53282.85392
24	52131.38726
25	50704.24197
26	49553.31075
27	48210.62773
28	46831.92287
29	45632.89987
30	44504.66131
31	43358.37797
32	42560.637
33	41576.95233
34	40622.8873
35	39826.5155
36	39159.87753
37	38412.19852
38	37812.13366
39	37347.13771
40	36870.25283
41	36678.0659
42	36092.88968
43	35837.13425
44	35487.64753
45	35038.03106
46	34719.67904
47	34278.97565
48	34066.68026
49	33788.67558
50	33709.18837
51	33668.12973
52	33385.08878
53	33172.54201
54	32711.70668
55	32520.36696
56	32230.37644
57	32043.16117
58	31895.67594
59	31856.87007
60	31831.93707
61	31642.73445
62	31620.85668
63	31427.39249
64	31053.04176
65	31046.98925
66	30928.18391
67	30729.85948
68	30622.27783
69	30483.50194
70	30428.93841
71	30335.93191
72	30185.49795
73	29855.1205
74	29807.58888
75	29782.24133
76	29706.87194
77	29631.16328
78	29447.94168
79	29163.61213
80	29108.98745
81	28959.30588
82	28869.09892
83	28690.5976
84	28593.27111
85	28341.13237
86	28312.89757
87	28070.03072
88	28050.5972
89	27914.84158
90	27883.24573
91	27857.06481
92	27787.45831
93	27564.1284
94	27532.94857
95	27512.87893
96	27486.28957
97	27477.9441
98	27477.10883
99	27304.20694
