iter	Passed	Remaining
0	156	156031
1	202	101013
2	286	95124
3	440	109560
4	551	109653
5	553	91663
6	638	90627
7	784	97286
8	944	103964
9	1098	108764
10	1193	107291
11	1375	113244
12	1525	115834
13	1661	117012
14	1685	110710
15	1852	113902
16	1988	114958
17	2060	112413
18	2082	107507
19	2104	103118
20	2308	107634
21	2468	109739
22	2644	112314
23	2813	114428
24	2907	113379
25	3035	113696
26	3133	112928
27	3233	112243
28	3343	111941
29	3483	112642
30	3622	113237
31	3751	113472
32	3904	114407
33	4036	114678
34	4163	114791
35	4341	116252
36	4506	117291
37	4608	116661
38	4707	116004
39	4813	115517
40	4926	115235
41	4950	112912
42	5026	111864
43	5086	110508
44	5197	110302
45	5330	110547
46	5393	109361
47	5486	108807
48	5548	107681
49	5572	105883
50	5615	104486
51	5617	102410
52	5645	100879
53	5689	99672
54	5806	99771
55	5873	99003
56	6002	99302
57	6080	98755
58	6217	99161
59	6259	98064
60	6262	96403
61	6371	96389
62	6392	95076
63	6529	95492
64	6663	95849
65	6705	94894
66	6780	94422
67	6850	93897
68	6882	92868
69	7041	93550
70	7124	93214
71	7236	93275
72	7269	92308
73	7366	92179
74	7428	91615
75	7491	91085
76	7552	90530
77	7646	90385
78	7751	90364
79	7926	91152
80	8035	91167
81	8111	90813
82	8233	90960
83	8379	91376
84	8442	90884
85	8558	90956
86	8661	90896
87	8815	91356
88	8875	90853
89	8993	90930
90	9054	90445
91	9112	89936
92	9156	89305
93	9302	89660
94	9373	89294
95	9461	89097
96	9543	88846
97	9565	88045
98	9588	87261
99	9669	87025
